"","document","topic","gamma"
"1","ekmteataja19170608.1.4",1,0.000119961268603095
"2","tooljasojavnoukteat19170505.1.2",1,0.000250217368920142
"3","svobodnojeslovosoldata19170519.1.4",1,0.997138529436613
"4","ekmteataja19170706.1.2",1,0.000125265402273513
"5","tooljasojavnoukteat19170730.1.3",1,0.169627836582991
"6","tooljasojavnoukteat19171104.1.3",1,0.692324412204796
"7","ekmteataja19171026.1.4",1,0.000261067981796193
"8","revelskojeslovo19170303.1.3",1,0.112442427472383
"9","tooljasojavnoukteat19170428.1.4",1,0.203139755060304
"10","tooljasojavnoukteat19171124.1.3",1,0.000383819111829562
"11","revelskieizvestija19170103.1.3",1,0.000326564381490909
"12","revelskojeslovo19170118.1.2",1,0.000206278526734383
"13","svobodnojeslovosoldata19170427.1.4",1,0.719633057194728
"14","tooljasojavnoukteat19170809.1.2",1,0.000252844576479518
"15","ekmteataja19170105.1.3",1,0.000186327539693149
"16","revelskojeslovo19170216.1.2",1,0.000118194887985631
"17","revelskojeslovo19170715.1.4",1,0.000538236158239648
"18","svobodnojeslovosoldata19170509.1.4",1,0.00042440568069338
"19","ekmteataja19170622.1.3",1,0.000166374100990527
"20","tooljasojavnoukteat19171001.1.4",1,0.0230758015176141
"21","tooljasojavnoukteat19170505.1.3",1,0.413635315854493
"22","ekmteataja19170119.1.5",1,0.000201953694817762
"23","tooljasojavnoukteat19170723.1.3",1,0.886521739382389
"24","tooljasojavnoukteat19171004.1.3",1,0.000157145620871408
"25","ekmteataja19170615.1.3",1,0.000331053805382949
"26","svobodnojeslovosoldata19170518.1.3",1,0.890797317700962
"27","revelskieizvestija19170327.1.2",1,0.000239040389830988
"28","tooljasojavnoukteat19171004.1.2",1,0.000266854011242127
"29","tooljasojavnoukteat19170719.1.3",1,0.949765273542635
"30","revelskieizvestija19170422.1.2",1,0.167010570786618
"31","ekmteataja19170907.1.3",1,0.00024388216032605
"32","revelskieizvestija19170221.1.3",1,0.000613675451205463
"33","revelskojeslovo19170308.1.3",1,0.000326564382361869
"34","revelskojeslovo19170118.1.4",1,0.000576920325456032
"35","ekmteataja19170615.1.1",1,0.000265383591782163
"36","utropravda19170818.1.4",1,0.590712886377304
"37","tooljasojavnoukteat19170815.1.1",1,0.000396457047602762
"38","ekmteataja19170209.1.1",1,0.997229960957425
"39","tooljasojavnoukteat19170707.1.2",1,0.139765924986807
"40","nasheslovo19171208.1.3",1,0.000269844281908601
"41","utropravda19171006.1.3",1,0.000315856062658675
"42","revelskojeslovo19170908.1.2",1,0.000409955563760954
"43","ekmteataja19171026.1.2",1,0.000460963790282319
"44","ekmteataja19170413.1.3",1,0.0209419604516388
"45","utropravda19171128.1.4",1,0.191808173032038
"46","ekmteataja19170119.1.6",1,0.000195398928018653
"47","svobodnojeslovosoldata19171123.1.3",1,0.000448097490795671
"48","revelskojeslovo19171004.1.4",1,0.000520776382468871
"49","tooljasojavnoukteat19170801.1.3",1,0.770764579886923
"50","utropravda19170609.1.3",1,0.108918974939528
"51","tooljasojavnoukteat19170704.1.2",1,0.000432019593409975
"52","revelskojeslovo19170228.1.2",1,0.00031379812090207
"53","ekmteataja19170126.1.3",1,0.000209874082528638
"54","tooljasojavnoukteat19170924.1.4",1,0.000338024261529547
"55","tooljasojavnoukteat19171102.1.4",1,0.000366304004347853
"56","tooljasojavnoukteat19171110.1.4",1,0.000369111326223318
"57","ekmteataja19170629.1.4",1,0.00017610779233561
"58","revelskieizvestija19170217.1.2",1,0.000250217369216693
"59","revelskojeslovo19170829.1.4",1,0.000515205486525454
"60","revelskojeslovo19171005.1.4",1,0.00061367544664844
"61","tooljasojavnoukteat19170913.1.3",1,0.119327589168063
"62","tooljasojavnoukteat19171024.1.3",1,0.527670924187841
"63","tooljasojavnoukteat19171101.1.4",1,0.000713709051428304
"64","revelskojeslovo19170901.1.2",1,0.00042069848358129
"65","revelskojeslovo19171030.1.4",1,0.000605954475279832
"66","tooljasojavnoukteat19170514.1.4",1,0.061818484646361
"67","tooljasojavnoukteat19170902.1.2",1,0.00032879377094987
"68","tooljasojavnoukteat19171106.1.4",1,0.000333345127639661
"69","ekmteataja19170629.1.3",1,0.000301992444086169
"70","revelskojeslovo19170302.1.1",1,0.000556907277105704
"71","tooljasojavnoukteat19170429.1.2",1,0.745145034115431
"72","ekmteataja19170608.1.3",1,0.000320053997286809
"73","revelskojeslovo19171003.1.4",1,0.000274457485203189
"74","tooljasojavnoukteat19170411.1.3",1,0.676415097786849
"75","tooljasojavnoukteat19170526.1.4",1,0.000247644197327102
"76","utropravda19170706.1.4",1,0.17137014595758
"77","ekmteataja19170831.1.3",1,0.000276030474092106
"78","tooljasojavnoukteat19170906.1.3",1,0.000214548721816447
"79","ekmteataja19170824.1.3",1,0.000112402124512948
"80","tooljasojavnoukteat19170429.1.3",1,0.616350312424027
"81","tooljasojavnoukteat19170720.1.4",1,0.0849367100452109
"82","ekmteataja19170914.1.1",1,0.000224551848237409
"83","tooljasojavnoukteat19170913.1.4",1,0.000284173847706861
"84","revelskieizvestija19170408.1.2",1,0.000322195091543872
"85","ekmteataja19170216.1.4",1,0.000435929918873478
"86","tooljasojavnoukteat19171216.1.3",1,0.000320053998959864
"87","tooljasojavnoukteat19170728.1.2",1,0.000358132538125893
"88","revelskieizvestija19170306.1.1",1,0.141402307860874
"89","svobodnojeslovosoldata19170420.1.3",1,0.000443966860833749
"90","ekmteataja19170119.1.4",1,0.000289294662552467
"91","tooljasojavnoukteat19170921.1.2",1,0.224127160789932
"92","utropravda19170706.1.3",1,0.157819407284344
"93","svobodnojeslovosoldata19170507.1.3",1,0.000435929920649519
"94","utropravda19170801.1.4",1,0.000413475052582457
"95","tooljasojavnoukteat19170705.1.2",1,0.000443966856338807
"96","tooljasojavnoukteat19170831.1.4",1,0.00029460341902508
"97","tooljasojavnoukteat19171118.1.4",1,0.000783360015461181
"98","tooljasojavnoukteat19170314.1.2",1,0.000187780490077129
"99","revelskojeslovo19170417.1.1",1,0.000443966858806002
"100","tooljasojavnoukteat19170503.1.4",1,0.000342836625404016
"101","tooljasojavnoukteat19171114.1.4",1,0.000570091380971184
"102","tooljasojavnoukteat19171205.1.2",1,0.000360815548253959
"103","revelskojeslovo19170304.1.2",1,0.166024278565115
"104","tooljasojavnoukteat19171204.1.3",1,0.693086351199491
"105","utropravda19171202.1.4",1,0.000250217368247414
